iter	Passed	Remaining
187	326	1408
188	326	1401
189	327	1395
190	328	1390
191	328	1384
192	329	1378
193	330	1371
194	330	1365
195	331	1358
196	331	1352
197	332	1346
198	333	1340
199	333	1334
200	334	1328
201	334	1322
202	335	1316
203	335	1310
204	336	1304
205	337	1298
206	337	1293
207	338	1289
208	339	1285
209	341	1286
210	342	1282
211	343	1277
212	344	1272
213	345	1267
214	345	1262
215	346	1257
216	347	1252
217	347	1247
218	348	1242
219	349	1237
220	349	1232
221	350	1227
222	351	1223
223	351	1218
224	352	1214
225	353	1211
226	354	1208
227	355	1204
228	356	1200
229	357	1196
230	358	1194
231	359	1189
232	359	1184
233	360	1180
234	361	1175
235	361	1170
236	362	1166
237	362	1161
238	363	1156
239	363	1152
240	364	1147
241	364	1143
242	365	1138
243	366	1134
244	366	1130
245	367	1125
246	368	1122
247	369	1119
248	370	1117
249	371	1114
250	372	1110
251	372	1106
252	373	1103
253	374	1099
254	374	1094
255	375	1090
256	375	1086
257	376	1082
258	377	1078
259	377	1074
260	378	1070
261	378	1066
262	379	1062
263	379	1058
264	380	1055
265	381	1051
266	381	1047
267	382	1043
268	382	1039
269	383	1037
270	385	1036
271	386	1033
272	386	1029
273	387	1027
274	388	1024
275	389	1021
276	389	1017
277	390	1014
278	391	1010
279	391	1007
280	392	1003
281	392	999
282	393	996
283	393	993
284	394	989
285	395	986
286	395	982
287	396	979
288	396	975
289	397	972
290	398	969
291	399	968
292	400	966
293	401	963
294	401	960
295	402	958
296	403	955
297	404	952
298	404	948
299	405	945
300	405	942
301	406	939
302	406	936
303	407	932
304	408	929
305	408	926
306	409	923
307	409	920
308	410	917
309	411	915
310	411	912
311	412	909
312	416	913
313	417	911
314	418	909
315	419	908
316	420	906
317	421	904
318	422	901
319	423	899
320	423	896
321	424	893
322	424	890
323	425	887
324	425	884
325	426	882
326	427	879
327	428	877
328	429	876
329	430	874
330	431	872
331	432	869
332	433	867
333	433	865
334	434	862
335	434	859
336	435	856
337	436	854
338	436	851
339	437	848
340	437	846
341	438	843
342	439	841
343	439	838
344	440	835
345	440	833
346	441	830
347	441	827
348	442	825
349	443	824
350	445	823
351	445	820
352	446	818
353	447	816
354	448	814
355	448	811
356	449	809
357	449	806
358	450	804
359	451	801
360	451	799
361	452	796
362	452	794
363	453	791
364	453	789
365	454	787
366	455	784
367	455	782
368	456	780
369	457	778
370	459	779
371	461	778
372	461	776
373	462	774
374	463	772
375	464	770
376	464	767
377	465	765
378	465	763
379	466	760
380	466	758
381	467	756
382	468	753
383	468	751
384	469	749
385	469	747
386	470	745
387	470	742
388	471	740
389	472	738
390	473	736
391	474	735
392	475	734
393	476	732
394	477	730
395	478	729
396	478	727
397	479	724
398	479	722
399	480	720
400	481	718
401	481	716
402	482	714
403	482	712
404	483	709
405	483	707
406	484	705
407	485	703
408	485	701
409	486	699
410	486	697
411	487	696
412	489	695
413	490	694
414	491	692
415	492	690
416	493	689
417	494	687
418	494	685
419	495	684
420	496	682
421	496	680
422	497	678
423	497	676
424	498	674
425	498	672
426	499	670
427	499	668
428	500	666
429	501	664
430	501	662
431	502	660
432	503	659
433	504	657
434	505	656
435	506	654
436	507	653
437	508	652
438	509	651
439	510	649
440	511	648
441	512	647
442	513	646
443	514	644
444	515	642
445	515	640
446	516	638
447	516	636
448	517	635
449	518	633
450	519	632
451	519	630
452	520	628
453	521	626
454	522	625
455	522	623
456	523	622
457	524	620
458	524	618
459	525	616
460	525	614
461	526	613
462	527	611
463	527	609
464	528	607
465	528	605
466	529	604
467	530	602
468	530	600
469	531	598
470	531	597
471	532	595
472	533	594
473	533	592
474	534	590
475	535	589
476	535	587
477	536	585
478	537	584
479	537	582
480	538	580
481	538	579
482	539	577
483	540	575
